number,type,short_description,category,priority,state,opened_at,resolved_at,assignment_group,region,related_ci
INC0010009,Incident,Card payments timing out across Northern Cape stores,Payments & EFT,3,Closed,2026-04-29 13:30,2026-04-30 07:00,Payments Ops,Gauteng,EFT-Switch-35
INC0010010,Incident,"Tap-to-pay failing on new terminals, store W193",Payments & EFT,3,Resolved,2025-11-18 09:24,2025-11-19 02:04,Payments Ops,Gauteng,EFT-Switch-28
CHG0007009,Change Request,Emergency change: images not loading on home screen — cdn 403s,Mobile App,3,Assess,2026-01-02 07:00,,Digital Commerce,Western Cape,Mobile-BFF-22
INC0010011,Incident,Bank switch latency above 8s causing tender timeouts,Payments & EFT,1,Closed,2026-01-28 12:06,2026-01-28 16:42,Payments Ops,Western Cape,EFT-Switch-07
INC0010012,Incident,"POS EOD batch stuck at store W524, trading day not closed",POS & Tills,3,Resolved,2025-10-04 06:58,2025-10-04 15:16,Store Systems,Gauteng,POS-Terminal-18
PRB0004001,Problem,"POS EOD batch stuck at store W417, trading day not closed",POS & Tills,3,Resolved,2026-06-15 14:41,2026-06-16 07:33,Store Systems,Gauteng,POS-Terminal-04
PRB0004002,Problem,Delivery slot selection failing for Western Cape customers,Online Checkout,4,Closed,2025-11-21 19:36,2025-11-24 10:46,Digital Commerce,Western Cape,Checkout-Service-29
CHG0007010,Change Request,Emergency change: app crash on product page for android 16% of sessions,Mobile App,3,Scheduled,2026-02-13 14:03,,Digital Commerce,Eastern Cape,Mobile-BFF-32
PRB0004003,Problem,Images not loading on home screen — CDN 403s,Mobile App,3,Fix in Progress,2026-06-27 16:49,,Digital Commerce,National / Online,Mobile-BFF-39
INC0010013,Incident,Invoice EDI mismatch blocking GRN for DC 5,Supply Chain EDI,2,New,2026-06-25 14:14,,Integration Hub,KwaZulu-Natal,EDI-Gateway-13
INC0010014,Incident,EFT declines spiking at store W465 — response code 91,Payments & EFT,3,Closed,2026-04-15 06:29,2026-04-18 19:04,Payments Ops,Limpopo,EFT-Switch-18
INC0010015,Incident,WRewards linking failing in app with error ERR-510,WRewards Loyalty,2,In Progress,2025-12-02 06:28,,Loyalty Platform,KwaZulu-Natal,Loyalty-API-04
INC0010016,Incident,Basket total mismatch after promo applied at checkout,Online Checkout,3,Closed,2026-01-23 06:32,2026-01-26 11:18,Digital Commerce,KwaZulu-Natal,Checkout-Service-17
INC0010017,Incident,Invoice EDI mismatch blocking GRN for DC 17,Supply Chain EDI,1,New,2026-05-09 17:52,,Integration Hub,KwaZulu-Natal,EDI-Gateway-17
CHG0007011,Change Request,"Emergency change: mismatch between shelf-edge label and till price, store w283",Pricing & Promotions,2,Closed,2026-06-26 14:15,2026-06-27 01:08,Merch Systems,KwaZulu-Natal,Promo-Engine-17
INC0010018,Incident,Stock-on-hand not syncing to online for DC 3 range,Inventory & Stock Sync,4,Closed,2025-09-27 08:20,2025-09-28 05:50,Merch Systems,Western Cape,Stock-Sync-Job-23
PRB0004004,Problem,App login failing with error ERR-640 after release PRM-9980,Mobile App,3,Root Cause Analysis,2026-02-21 19:58,,Digital Commerce,National / Online,Mobile-BFF-19
PRB0004005,Problem,Stock-on-hand not syncing to online for DC 18 range,Inventory & Stock Sync,3,Fix in Progress,2026-01-07 19:52,,Merch Systems,Western Cape,Stock-Sync-Job-24
INC0010019,Incident,Click-and-collect orders stuck in ALLOCATED for store W397,Order Fulfilment,2,Closed,2026-03-30 12:51,2026-03-31 08:35,Fulfilment Tech,Gauteng,OMS-Core-21
INC0010020,Incident,Store W403 receiving not reflecting in inventory ledger,Inventory & Stock Sync,3,Closed,2025-12-31 18:43,2026-01-03 17:18,Merch Systems,Eastern Cape,Stock-Sync-Job-39
INC0010021,Incident,App crash on product page for Android 44% of sessions,Mobile App,3,Closed,2025-12-08 10:42,2025-12-10 00:34,Digital Commerce,Limpopo,Mobile-BFF-39
INC0010022,Incident,Dual-message settlement mismatch for trading date 2026-03-05,Payments & EFT,2,Resolved,2026-01-11 07:49,2026-01-12 08:36,Payments Ops,Free State,EFT-Switch-33
PRB0004006,Problem,Basket total mismatch after promo applied at checkout,Online Checkout,3,Resolved,2026-04-17 10:31,2026-04-18 16:13,Digital Commerce,Gauteng,Checkout-Service-20
INC0010023,Incident,App login failing with error ERR-604 after release PRM-1342,Mobile App,2,Closed,2026-05-09 12:44,2026-05-10 14:58,Digital Commerce,National / Online,Mobile-BFF-29
PRB0004007,Problem,Till 15 frozen on tender screen at store W421,POS & Tills,3,Root Cause Analysis,2025-10-03 13:59,,Store Systems,Gauteng,POS-Terminal-08
PRB0004008,Problem,Purchase order acknowledgements not reaching vendor TextilePro,Supply Chain EDI,1,Root Cause Analysis,2026-05-28 13:38,,Integration Hub,Northern Cape,EDI-Gateway-08
INC0010024,Incident,Router config drift detected at store W477 after change,Store Network & Connectivity,3,Resolved,2026-02-21 20:57,2026-02-24 10:56,Network Ops,Mpumalanga,Store-Router-23
INC0010025,Incident,"Loyalty card lookup timing out at till, store W111",WRewards Loyalty,3,New,2026-04-10 11:59,,Loyalty Platform,KwaZulu-Natal,Loyalty-API-10
INC0010026,Incident,Card payments timing out across Mpumalanga stores,Payments & EFT,3,Resolved,2025-07-04 14:29,2025-07-06 02:52,Payments Ops,Eastern Cape,EFT-Switch-38
INC0010027,Incident,Invoice EDI mismatch blocking GRN for DC 2,Supply Chain EDI,4,In Progress,2025-11-30 16:48,,Integration Hub,National / Online,EDI-Gateway-28
PRB0004009,Problem,WRewards points not awarded on qualifying basket,WRewards Loyalty,1,Fix in Progress,2025-10-17 18:25,,Loyalty Platform,Gauteng,Loyalty-API-37
INC0010028,Incident,"POS EOD batch stuck at store W161, trading day not closed",POS & Tills,3,Resolved,2025-07-08 14:31,2025-07-11 01:15,Store Systems,Mpumalanga,POS-Terminal-22
INC0010029,Incident,Basket total mismatch after promo applied at checkout,Online Checkout,3,New,2026-05-13 16:45,,Digital Commerce,KwaZulu-Natal,Checkout-Service-29
INC0010030,Incident,"Receipt printer failure on till 3, store W360",POS & Tills,3,New,2025-09-19 06:11,,Store Systems,Gauteng,POS-Terminal-31
CHG0007012,Change Request,Deploy fix for promotion prm-4396 double-discounting online,Pricing & Promotions,3,Closed,2026-06-12 20:37,2026-06-14 00:56,Merch Systems,Western Cape,Promo-Engine-11
INC0010031,Incident,App checkout button unresponsive on iOS 55,Mobile App,4,Resolved,2026-05-23 08:55,2026-05-25 20:22,Digital Commerce,Western Cape,Mobile-BFF-13
INC0010032,Incident,Dual-message settlement mismatch for trading date 2026-06-17,Payments & EFT,3,Closed,2025-07-26 09:12,2025-07-28 22:15,Payments Ops,National / Online,EFT-Switch-32
INC0010033,Incident,"Mismatch between shelf-edge label and till price, store W375",Pricing & Promotions,3,Closed,2026-06-24 20:51,2026-06-26 14:04,Merch Systems,KwaZulu-Natal,Promo-Engine-20
CHG0007013,Change Request,Config change: store w162 receiving not reflecting in inventory ledger,Inventory & Stock Sync,3,Implement,2025-11-15 08:39,,Merch Systems,KwaZulu-Natal,Stock-Sync-Job-34
INC0010034,Incident,App checkout button unresponsive on iOS 54,Mobile App,3,Closed,2026-06-15 16:19,2026-06-18 13:22,Digital Commerce,Gauteng,Mobile-BFF-30
INC0010035,Incident,Delivery slot selection failing for KwaZulu-Natal customers,Online Checkout,3,Resolved,2025-10-09 13:31,2025-10-13 01:16,Digital Commerce,National / Online,Checkout-Service-38
PRB0004010,Problem,EFT declines spiking at store W304 — response code 91,Payments & EFT,3,Root Cause Analysis,2026-03-15 07:42,,Payments Ops,Eastern Cape,EFT-Switch-17
PRB0004011,Problem,Bank switch latency above 8s causing tender timeouts,Payments & EFT,2,Root Cause Analysis,2025-09-05 18:23,,Payments Ops,North West,EFT-Switch-23
INC0010036,Incident,3-D Secure redirect loop on mobile web checkout,Online Checkout,3,Resolved,2026-06-14 07:50,2026-06-17 20:01,Digital Commerce,Western Cape,Checkout-Service-24
INC0010037,Incident,Dual-message settlement mismatch for trading date 2026-01-04,Payments & EFT,3,Resolved,2025-11-11 19:36,2025-11-14 07:15,Payments Ops,Limpopo,EFT-Switch-01
INC0010038,Incident,Store W288 receiving not reflecting in inventory ledger,Inventory & Stock Sync,3,In Progress,2026-03-26 08:09,,Merch Systems,Eastern Cape,Stock-Sync-Job-30
CHG0007014,Change Request,Emergency change: same-day delivery cutoff not enforced — late promises made,Order Fulfilment,3,Closed,2026-03-19 08:53,2026-03-22 00:09,Fulfilment Tech,Western Cape,OMS-Core-02
INC0010039,Incident,Courier manifest not generated for 25 orders,Order Fulfilment,3,Closed,2025-08-25 19:52,2025-08-29 06:17,Fulfilment Tech,North West,OMS-Core-14
CHG0007015,Change Request,Patch release for markdown batch stuck — clearance prices not live,Pricing & Promotions,3,Closed,2026-06-15 15:33,2026-06-19 06:34,Merch Systems,National / Online,Promo-Engine-26
INC0010040,Incident,"Voucher barcode not scanning at till, store W444",Gift Cards & Vouchers,1,Closed,2026-01-11 08:48,2026-01-11 16:17,Payments Ops,Free State,GiftCard-Service-31
INC0010041,Incident,Dual-message settlement mismatch for trading date 2026-05-27,Payments & EFT,2,In Progress,2026-05-05 11:42,,Payments Ops,National / Online,EFT-Switch-06
INC0010042,Incident,Router config drift detected at store W144 after change,Store Network & Connectivity,3,Closed,2026-01-27 16:58,2026-01-28 05:42,Network Ops,Eastern Cape,Store-Router-04
CHG0007016,Change Request,Config change: invoice edi mismatch blocking grn for dc 13,Supply Chain EDI,2,Closed,2026-04-06 14:08,2026-04-07 05:41,Integration Hub,Western Cape,EDI-Gateway-15
INC0010043,Incident,Barcode scanner intermittently not reading at store W112,POS & Tills,2,Resolved,2025-07-31 06:32,2025-08-01 03:55,Store Systems,KwaZulu-Natal,POS-Terminal-30
INC0010044,Incident,High packet loss to data centre from KwaZulu-Natal stores,Store Network & Connectivity,3,Closed,2026-03-31 20:30,2026-04-03 11:58,Network Ops,North West,Store-Router-12
INC0010045,Incident,EFT declines spiking at store W221 — response code 91,Payments & EFT,4,On Hold,2026-05-03 08:22,,Payments Ops,Gauteng,EFT-Switch-34
INC0010046,Incident,"POS EOD batch stuck at store W501, trading day not closed",POS & Tills,3,In Progress,2026-02-03 16:19,,Store Systems,Eastern Cape,POS-Terminal-34
CHG0007017,Change Request,"Config change: tap-to-pay failing on new terminals, store w282",Payments & EFT,4,Closed,2025-11-27 13:46,2025-11-30 10:04,Payments Ops,Western Cape,EFT-Switch-05
PRB0004012,Problem,Barcode scanner intermittently not reading at store W261,POS & Tills,3,Resolved,2026-05-29 15:21,2026-05-31 04:17,Store Systems,Western Cape,POS-Terminal-22
INC0010047,Incident,"Promo price not applying at till for advertised line, store W263",Pricing & Promotions,4,New,2025-11-01 14:38,,Merch Systems,National / Online,Promo-Engine-13
INC0010048,Incident,Store W158 on 4G failover — degraded POS response,Store Network & Connectivity,2,Closed,2025-10-07 18:03,2025-10-08 10:22,Network Ops,National / Online,Store-Router-13
INC0010049,Incident,Router config drift detected at store W422 after change,Store Network & Connectivity,2,Closed,2025-08-23 20:41,2025-08-24 15:43,Network Ops,Western Cape,Store-Router-16
CHG0007018,Change Request,"Emergency change: pos eod batch stuck at store w560, trading day not closed",POS & Tills,2,Closed,2026-05-28 19:28,2026-05-29 09:12,Store Systems,Gauteng,POS-Terminal-05
INC0010050,Incident,Wi-Fi outage in backup area of store W358 — RF guns offline,Store Network & Connectivity,3,New,2025-07-11 20:19,,Network Ops,Western Cape,Store-Router-10
INC0010051,Incident,High packet loss to data centre from Eastern Cape stores,Store Network & Connectivity,3,Closed,2026-03-05 07:14,2026-03-06 16:41,Network Ops,Western Cape,Store-Router-24
PRB0004013,Problem,Product images not propagating from PIM to web,Product Master Data,3,Fix in Progress,2026-05-14 19:59,,Data Services,Gauteng,PIM-Hub-38
INC0010052,Incident,"Primary link down at store W530, all cloud services impacted",Store Network & Connectivity,4,New,2025-07-29 20:30,,Network Ops,Mpumalanga,Store-Router-23
INC0010053,Incident,EFT declines spiking at store W156 — response code 91,Payments & EFT,2,Closed,2025-08-17 08:29,2025-08-18 00:16,Payments Ops,Gauteng,EFT-Switch-24
INC0010054,Incident,Same-day delivery cutoff not enforced — late promises made,Order Fulfilment,4,Resolved,2025-10-18 17:40,2025-10-19 13:31,Fulfilment Tech,National / Online,OMS-Core-31
INC0010055,Incident,Bank switch latency above 8s causing tender timeouts,Payments & EFT,2,Closed,2026-05-20 13:39,2026-05-21 02:29,Payments Ops,KwaZulu-Natal,EFT-Switch-24
INC0010056,Incident,Basket total mismatch after promo applied at checkout,Online Checkout,3,New,2026-04-22 16:28,,Digital Commerce,KwaZulu-Natal,Checkout-Service-31
INC0010057,Incident,Gift card balance enquiry timing out online,Gift Cards & Vouchers,4,Resolved,2025-09-07 19:31,2025-09-10 13:33,Payments Ops,National / Online,GiftCard-Service-28
PRB0004014,Problem,Card payments timing out across Eastern Cape stores,Payments & EFT,4,Fix in Progress,2026-02-14 09:33,,Payments Ops,KwaZulu-Natal,EFT-Switch-19
PRB0004015,Problem,Courier manifest not generated for 23 orders,Order Fulfilment,2,Closed,2026-04-17 16:27,2026-04-18 14:53,Fulfilment Tech,Eastern Cape,OMS-Core-08
INC0010058,Incident,Card payments timing out across North West stores,Payments & EFT,3,Resolved,2026-04-09 06:14,2026-04-12 07:58,Payments Ops,KwaZulu-Natal,EFT-Switch-33
PRB0004016,Problem,Price file failed to deploy to 30 stores overnight,Pricing & Promotions,2,Fix in Progress,2025-07-25 15:32,,Merch Systems,National / Online,Promo-Engine-17
PRB0004017,Problem,Till 15 frozen on tender screen at store W456,POS & Tills,4,Closed,2025-09-01 13:41,2025-09-03 19:34,Store Systems,North West,POS-Terminal-04
INC0010059,Incident,Courier manifest not generated for 43 orders,Order Fulfilment,3,New,2026-05-27 09:15,,Fulfilment Tech,Gauteng,OMS-Core-39
INC0010060,Incident,EFT declines spiking at store W354 — response code 91,Payments & EFT,2,In Progress,2026-04-02 08:33,,Payments Ops,Free State,EFT-Switch-36
INC0010061,Incident,Router config drift detected at store W233 after change,Store Network & Connectivity,2,On Hold,2026-05-05 13:08,,Network Ops,Western Cape,Store-Router-23
INC0010062,Incident,WRewards points not awarded on qualifying basket,WRewards Loyalty,4,Closed,2026-05-21 06:57,2026-05-24 07:22,Loyalty Platform,National / Online,Loyalty-API-24
CHG0007019,Change Request,Emergency change: picking app not releasing waves at dc 8,Order Fulfilment,2,Assess,2025-10-05 07:42,,Fulfilment Tech,National / Online,OMS-Core-30
INC0010063,Incident,Barcode scanner intermittently not reading at store W433,POS & Tills,2,Closed,2026-01-06 10:55,2026-01-06 23:30,Store Systems,KwaZulu-Natal,POS-Terminal-30
INC0010064,Incident,Bulk corporate gift card load failed for 26 cards,Gift Cards & Vouchers,3,Resolved,2025-12-04 19:43,2025-12-08 16:55,Payments Ops,Gauteng,GiftCard-Service-24
PRB0004018,Problem,Courier manifest not generated for 56 orders,Order Fulfilment,2,New,2026-06-30 11:11,,Fulfilment Tech,KwaZulu-Natal,OMS-Core-13
PRB0004019,Problem,Dual-message settlement mismatch for trading date 2026-03-19,Payments & EFT,4,Closed,2025-10-18 08:52,2025-10-19 19:36,Payments Ops,Limpopo,EFT-Switch-02
INC0010065,Incident,"Tap-to-pay failing on new terminals, store W383",Payments & EFT,3,Resolved,2025-12-13 15:33,2025-12-17 11:10,Payments Ops,Gauteng,EFT-Switch-22
INC0010066,Incident,Card payments timing out across Northern Cape stores,Payments & EFT,3,On Hold,2026-03-12 09:47,,Payments Ops,Gauteng,EFT-Switch-36
CHG0007020,Change Request,Deploy fix for bank switch latency above 8s causing tender timeouts,Payments & EFT,3,Closed,2026-06-20 12:47,2026-06-22 12:33,Payments Ops,Gauteng,EFT-Switch-35
PRB0004020,Problem,AS2 certificate expiry caused vendor HomewareHub channel outage,Supply Chain EDI,1,Fix in Progress,2026-05-07 18:56,,Integration Hub,KwaZulu-Natal,EDI-Gateway-20
INC0010067,Incident,Delivery slot selection failing for Western Cape customers,Online Checkout,3,On Hold,2026-06-13 07:32,,Digital Commerce,Gauteng,Checkout-Service-23
INC0010068,Incident,Markdown batch stuck — clearance prices not live,Pricing & Promotions,4,New,2026-04-28 20:19,,Merch Systems,Northern Cape,Promo-Engine-33
INC0010069,Incident,Product images not propagating from PIM to web,Product Master Data,4,Closed,2025-07-15 10:34,2025-07-16 10:01,Data Services,North West,PIM-Hub-01
INC0010070,Incident,Stock-on-hand not syncing to online for DC 4 range,Inventory & Stock Sync,3,New,2026-04-04 08:10,,Merch Systems,National / Online,Stock-Sync-Job-38
INC0010071,Incident,"Tap-to-pay failing on new terminals, store W450",Payments & EFT,4,In Progress,2026-05-17 07:04,,Payments Ops,Western Cape,EFT-Switch-31
PRB0004021,Problem,Wi-Fi outage in backup area of store W249 — RF guns offline,Store Network & Connectivity,3,Root Cause Analysis,2025-10-20 13:08,,Network Ops,National / Online,Store-Router-18
INC0010072,Incident,Click-and-collect orders stuck in ALLOCATED for store W136,Order Fulfilment,3,Resolved,2026-03-05 09:33,2026-03-06 03:59,Fulfilment Tech,National / Online,OMS-Core-33
PRB0004022,Problem,Voucher PRM-3043 redeemable multiple times — exposure risk,Gift Cards & Vouchers,4,Closed,2026-05-20 08:11,2026-05-21 05:17,Payments Ops,Gauteng,GiftCard-Service-24
CHG0007021,Change Request,Deploy fix for pos terminal offline — store w116 unable to trade on 38 lanes,POS & Tills,4,Scheduled,2025-11-01 19:05,,Store Systems,Western Cape,POS-Terminal-31
CHG0007022,Change Request,Config change: cycle-count variance file rejected for store w153,Inventory & Stock Sync,4,Implement,2025-10-06 12:19,,Merch Systems,KwaZulu-Natal,Stock-Sync-Job-17
INC0010073,Incident,Basket total mismatch after promo applied at checkout,Online Checkout,3,Resolved,2025-08-16 19:07,2025-08-20 14:41,Digital Commerce,Western Cape,Checkout-Service-25
INC0010074,Incident,Courier manifest not generated for 20 orders,Order Fulfilment,3,Closed,2026-03-05 09:51,2026-03-09 15:03,Fulfilment Tech,Gauteng,OMS-Core-02
PRB0004023,Problem,"Tap-to-pay failing on new terminals, store W227",Payments & EFT,3,Closed,2025-09-17 10:30,2025-09-19 16:27,Payments Ops,Limpopo,EFT-Switch-35
INC0010075,Incident,Same-day delivery cutoff not enforced — late promises made,Order Fulfilment,3,Closed,2026-05-24 19:39,2026-05-27 09:28,Fulfilment Tech,National / Online,OMS-Core-21
INC0010076,Incident,Same-day delivery cutoff not enforced — late promises made,Order Fulfilment,3,Closed,2026-06-28 19:04,2026-07-02 19:31,Fulfilment Tech,Eastern Cape,OMS-Core-33
CHG0007023,Change Request,Patch release for stock-on-hand not syncing to online for dc 6 range,Inventory & Stock Sync,3,Authorise,2025-10-02 08:44,,Merch Systems,Eastern Cape,Stock-Sync-Job-25
INC0010077,Incident,Unit-of-measure mismatch causing receiving failures at DC 8,Product Master Data,3,Closed,2025-07-05 17:38,2025-07-07 17:43,Data Services,Limpopo,PIM-Hub-30
INC0010078,Incident,Store W157 receiving not reflecting in inventory ledger,Inventory & Stock Sync,3,Closed,2026-01-04 07:16,2026-01-04 18:53,Merch Systems,National / Online,Stock-Sync-Job-13
INC0010079,Incident,Push notifications not delivered for order updates,Mobile App,3,Closed,2025-07-21 17:13,2025-07-25 20:02,Digital Commerce,Gauteng,Mobile-BFF-28
INC0010080,Incident,EFT declines spiking at store W292 — response code 91,Payments & EFT,4,Closed,2026-06-13 16:29,2026-06-16 17:11,Payments Ops,KwaZulu-Natal,EFT-Switch-31
PRB0004024,Problem,Negative SOH values appearing for 60 SKUs after nightly sync,Inventory & Stock Sync,2,Resolved,2026-04-30 13:39,2026-05-01 02:24,Merch Systems,North West,Stock-Sync-Job-13
INC0010081,Incident,Picking app not releasing waves at DC 12,Order Fulfilment,2,In Progress,2025-12-04 19:29,,Fulfilment Tech,Gauteng,OMS-Core-27
INC0010082,Incident,Duplicate vouchers issued to 41 members,WRewards Loyalty,3,Closed,2026-03-04 06:32,2026-03-07 16:31,Loyalty Platform,Northern Cape,Loyalty-API-02
CHG0007024,Change Request,Deploy fix for courier manifest not generated for 31 orders,Order Fulfilment,3,Scheduled,2026-06-22 11:19,,Fulfilment Tech,Gauteng,OMS-Core-08
INC0010083,Incident,Price file failed to deploy to 61 stores overnight,Pricing & Promotions,3,Closed,2025-11-01 10:44,2025-11-04 05:47,Merch Systems,National / Online,Promo-Engine-13
INC0010084,Incident,"Voucher barcode not scanning at till, store W211",Gift Cards & Vouchers,3,Closed,2026-05-04 10:59,2026-05-07 08:19,Payments Ops,Mpumalanga,GiftCard-Service-40
INC0010085,Incident,"POS EOD batch stuck at store W428, trading day not closed",POS & Tills,3,Closed,2025-11-03 16:41,2025-11-06 23:42,Store Systems,KwaZulu-Natal,POS-Terminal-24
PRB0004025,Problem,Markdown batch stuck — clearance prices not live,Pricing & Promotions,3,Fix in Progress,2026-04-22 18:14,,Merch Systems,North West,Promo-Engine-19
INC0010086,Incident,Price file failed to deploy to 24 stores overnight,Pricing & Promotions,2,Resolved,2025-09-13 20:38,2025-09-13 23:49,Merch Systems,KwaZulu-Natal,Promo-Engine-05
INC0010087,Incident,App crash on product page for Android 11% of sessions,Mobile App,3,Closed,2026-02-14 09:51,2026-02-15 16:16,Digital Commerce,North West,Mobile-BFF-21
INC0010088,Incident,App checkout button unresponsive on iOS 31,Mobile App,4,Closed,2025-12-14 08:37,2025-12-16 05:34,Digital Commerce,Mpumalanga,Mobile-BFF-36
INC0010089,Incident,Negative SOH values appearing for 19 SKUs after nightly sync,Inventory & Stock Sync,3,In Progress,2025-11-11 11:55,,Merch Systems,Free State,Stock-Sync-Job-29
INC0010090,Incident,Picking app not releasing waves at DC 16,Order Fulfilment,3,Closed,2026-06-23 18:38,2026-06-27 12:35,Fulfilment Tech,Eastern Cape,OMS-Core-02
PRB0004026,Problem,App checkout button unresponsive on iOS 41,Mobile App,2,Closed,2026-06-24 12:04,2026-06-25 03:32,Digital Commerce,Eastern Cape,Mobile-BFF-16
CHG0007025,Change Request,Patch release for high packet loss to data centre from northern cape stores,Store Network & Connectivity,1,Assess,2025-10-16 11:19,,Network Ops,Gauteng,Store-Router-24
CHG0007026,Change Request,Emergency change: bank switch latency above 8s causing tender timeouts,Payments & EFT,3,Assess,2025-11-13 18:38,,Payments Ops,North West,EFT-Switch-31
INC0010091,Incident,Checkout payment step returning 502 for 2% of sessions,Online Checkout,3,New,2025-07-21 13:34,,Digital Commerce,KwaZulu-Natal,Checkout-Service-08
INC0010092,Incident,Till 12 frozen on tender screen at store W373,POS & Tills,2,Resolved,2025-08-09 14:01,2025-08-09 19:04,Store Systems,National / Online,POS-Terminal-03
INC0010093,Incident,Purchase order acknowledgements not reaching vendor CapeMills,Supply Chain EDI,2,Closed,2026-06-27 15:26,2026-06-28 08:50,Integration Hub,Western Cape,EDI-Gateway-20
INC0010094,Incident,Push notifications not delivered for order updates,Mobile App,3,Closed,2026-06-27 20:31,2026-07-01 08:20,Digital Commerce,Gauteng,Mobile-BFF-33
CHG0007027,Change Request,Config change: till 15 frozen on tender screen at store w490,POS & Tills,3,Closed,2025-08-23 19:27,2025-08-27 14:04,Store Systems,Western Cape,POS-Terminal-40
CHG0007028,Change Request,Config change: checkout payment step returning 502 for 16% of sessions,Online Checkout,2,Implement,2026-06-28 19:16,,Digital Commerce,National / Online,Checkout-Service-28
INC0010095,Incident,Router config drift detected at store W440 after change,Store Network & Connectivity,4,Closed,2025-07-17 10:03,2025-07-19 10:07,Network Ops,Western Cape,Store-Router-40
INC0010096,Incident,WRewards points not awarded on qualifying basket,WRewards Loyalty,1,Resolved,2026-05-20 17:14,2026-05-21 00:44,Loyalty Platform,Limpopo,Loyalty-API-38
INC0010097,Incident,"Tap-to-pay failing on new terminals, store W506",Payments & EFT,1,Closed,2025-11-13 07:47,2025-11-13 14:01,Payments Ops,National / Online,EFT-Switch-20
INC0010098,Incident,"Loyalty card lookup timing out at till, store W557",WRewards Loyalty,4,Closed,2026-05-30 07:24,2026-05-31 06:59,Loyalty Platform,Limpopo,Loyalty-API-08
INC0010099,Incident,Dual-message settlement mismatch for trading date 2026-01-19,Payments & EFT,4,Closed,2025-12-15 08:36,2025-12-16 04:26,Payments Ops,Gauteng,EFT-Switch-35
INC0010100,Incident,"Promo price not applying at till for advertised line, store W397",Pricing & Promotions,3,Closed,2026-05-14 12:15,2026-05-15 11:22,Merch Systems,KwaZulu-Natal,Promo-Engine-35
