key,summary,category,priority,status,created,resolved,team,region,labels
RET-1031,Purchase order acknowledgements not reaching vendor TextilePro,Supply Chain EDI,P3,Closed,2025-11-18 13:59,2025-11-23 11:54,Integration Hub,Gauteng,supply-chain-edi
RET-1032,Order ORD-436600 split incorrectly across fulfilment nodes,Order Fulfilment,P4,Open,2026-01-07 09:24,,Fulfilment Tech,Gauteng,order-fulfilment
RET-1033,POS terminal offline — store W329 unable to trade on 48 lanes,POS & Tills,P2,Closed,2026-06-09 18:47,2026-06-10 15:07,Store Systems,Western Cape,pos-tills
RET-1034,Till 17 frozen on tender screen at store W342,POS & Tills,P3,In Progress,2025-11-10 19:48,,Store Systems,Western Cape,pos-tills
RET-1035,Same-day delivery cutoff not enforced — late promises made,Order Fulfilment,P3,Blocked,2025-08-14 10:30,,Fulfilment Tech,Western Cape,order-fulfilment
RET-1036,Card payments timing out across North West stores,Payments & EFT,P3,Resolved,2025-07-16 09:38,2025-07-19 13:43,Payments Ops,National / Online,payments-eft
RET-1037,Till 4 frozen on tender screen at store W219,POS & Tills,P3,In Progress,2026-02-17 11:37,,Store Systems,Limpopo,pos-tills
RET-1038,Cycle-count variance file rejected for store W488,Inventory & Stock Sync,P4,Closed,2026-05-24 07:42,2026-05-29 02:38,Merch Systems,Western Cape,inventory-stock-sync
RET-1039,"Mismatch between shelf-edge label and till price, store W440",Pricing & Promotions,P4,In Progress,2026-04-16 10:12,,Merch Systems,KwaZulu-Natal,pricing-promotions
RET-1040,"Tap-to-pay failing on new terminals, store W307",Payments & EFT,P3,Closed,2026-04-17 10:38,2026-04-18 00:29,Payments Ops,Eastern Cape,payments-eft
RET-1041,Courier manifest not generated for 37 orders,Order Fulfilment,P4,Resolved,2026-06-27 20:49,2026-07-02 05:02,Fulfilment Tech,Western Cape,order-fulfilment
RET-1042,Order ORD-995738 split incorrectly across fulfilment nodes,Order Fulfilment,P1,Closed,2025-10-01 18:51,2025-10-01 23:11,Fulfilment Tech,Western Cape,order-fulfilment
RET-1043,Card payments timing out across Eastern Cape stores,Payments & EFT,P3,Closed,2026-01-17 07:23,2026-01-18 19:17,Payments Ops,Mpumalanga,payments-eft
RET-1044,Store W240 receiving not reflecting in inventory ledger,Inventory & Stock Sync,P3,Closed,2026-04-26 13:28,2026-04-29 10:58,Merch Systems,KwaZulu-Natal,inventory-stock-sync
RET-1045,Unit-of-measure mismatch causing receiving failures at DC 8,Product Master Data,P3,Closed,2025-07-02 19:36,2025-07-06 02:20,Data Services,Mpumalanga,product-master-data
RET-1046,Price file failed to deploy to 46 stores overnight,Pricing & Promotions,P3,Closed,2026-05-27 10:53,2026-05-28 20:42,Merch Systems,Western Cape,pricing-promotions
RET-1047,Markdown batch stuck — clearance prices not live,Pricing & Promotions,P4,Closed,2025-07-09 13:54,2025-07-14 18:42,Merch Systems,Eastern Cape,pricing-promotions
RET-1048,Brand attribute overwritten in bulk update — 36 SKUs affected,Product Master Data,P4,Closed,2026-03-31 16:47,2026-04-02 23:19,Data Services,Free State,product-master-data
RET-1049,"POS EOD batch stuck at store W143, trading day not closed",POS & Tills,P3,Closed,2025-11-16 11:17,2025-11-16 23:26,Store Systems,Gauteng,pos-tills
RET-1050,Checkout payment step returning 502 for 2% of sessions,Online Checkout,P2,Open,2025-11-03 11:17,,Digital Commerce,National / Online,online-checkout
RET-1051,Negative SOH values appearing for 54 SKUs after nightly sync,Inventory & Stock Sync,P3,Closed,2026-06-26 13:01,2026-06-30 08:04,Merch Systems,Eastern Cape,inventory-stock-sync
RET-1052,Same-day delivery cutoff not enforced — late promises made,Order Fulfilment,P2,Closed,2026-05-29 10:40,2026-05-30 13:40,Fulfilment Tech,KwaZulu-Natal,order-fulfilment
RET-1053,Stock sync job overran window by 14 hours — online availability stale,Inventory & Stock Sync,P1,Resolved,2025-10-31 20:44,2025-11-01 06:13,Merch Systems,Gauteng,inventory-stock-sync
RET-1054,Till 17 frozen on tender screen at store W499,POS & Tills,P3,Closed,2025-11-19 14:58,2025-11-24 13:30,Store Systems,National / Online,pos-tills
RET-1055,Product images not propagating from PIM to web,Product Master Data,P2,Resolved,2026-01-10 07:24,2026-01-10 23:35,Data Services,Western Cape,product-master-data
RET-1056,Stock-on-hand not syncing to online for DC 5 range,Inventory & Stock Sync,P3,Resolved,2026-03-08 09:57,2026-03-12 15:10,Merch Systems,Western Cape,inventory-stock-sync
RET-1057,Delivery slot selection failing for Northern Cape customers,Online Checkout,P1,In Progress,2026-06-28 09:47,,Digital Commerce,Gauteng,online-checkout
RET-1058,Card payments timing out across Western Cape stores,Payments & EFT,P3,Closed,2026-06-20 10:04,2026-06-22 17:57,Payments Ops,National / Online,payments-eft
RET-1059,Tier recalculation job failed — member benefits downgraded,WRewards Loyalty,P2,Closed,2026-02-23 07:56,2026-02-23 16:18,Loyalty Platform,Eastern Cape,wrewards-loyalty
RET-1060,Stock sync job overran window by 25 hours — online availability stale,Inventory & Stock Sync,P3,In Progress,2026-04-21 06:16,,Merch Systems,Gauteng,inventory-stock-sync
RET-1061,Stock-on-hand not syncing to online for DC 7 range,Inventory & Stock Sync,P3,In Progress,2025-08-31 17:53,,Merch Systems,KwaZulu-Natal,inventory-stock-sync
RET-1062,POS terminal offline — store W136 unable to trade on 32 lanes,POS & Tills,P3,Closed,2026-04-20 08:15,2026-04-22 17:09,Store Systems,Gauteng,pos-tills
RET-1063,AS2 certificate expiry caused vendor DairyDirect channel outage,Supply Chain EDI,P3,Resolved,2026-05-14 07:06,2026-05-18 06:56,Integration Hub,Gauteng,supply-chain-edi
RET-1064,Bulk corporate gift card load failed for 25 cards,Gift Cards & Vouchers,P3,In Progress,2025-10-16 19:43,,Payments Ops,Gauteng,gift-cards-vouchers
RET-1065,App crash on product page for Android 9% of sessions,Mobile App,P2,Closed,2026-05-13 20:31,2026-05-14 12:49,Digital Commerce,National / Online,mobile-app
RET-1066,Click-and-collect orders stuck in ALLOCATED for store W502,Order Fulfilment,P2,Closed,2026-05-30 09:18,2026-05-31 14:45,Fulfilment Tech,Gauteng,order-fulfilment
RET-1067,Picking app not releasing waves at DC 7,Order Fulfilment,P4,Closed,2026-03-07 15:26,2026-03-09 10:51,Fulfilment Tech,Gauteng,order-fulfilment
RET-1068,Checkout payment step returning 502 for 55% of sessions,Online Checkout,P1,Blocked,2025-10-15 08:04,,Digital Commerce,Gauteng,online-checkout
RET-1069,Markdown batch stuck — clearance prices not live,Pricing & Promotions,P2,In Progress,2025-07-30 14:42,,Merch Systems,Gauteng,pricing-promotions
RET-1070,App checkout button unresponsive on iOS 49,Mobile App,P3,Open,2026-03-11 10:46,,Digital Commerce,KwaZulu-Natal,mobile-app
RET-1071,Delivery slot selection failing for North West customers,Online Checkout,P2,Blocked,2025-12-17 13:40,,Digital Commerce,KwaZulu-Natal,online-checkout
RET-1072,AS2 certificate expiry caused vendor FreshCo channel outage,Supply Chain EDI,P4,In Progress,2025-08-10 15:11,,Integration Hub,KwaZulu-Natal,supply-chain-edi
RET-1073,"Mismatch between shelf-edge label and till price, store W349",Pricing & Promotions,P3,In Progress,2026-05-06 08:47,,Merch Systems,Western Cape,pricing-promotions
RET-1074,Push notifications not delivered for order updates,Mobile App,P4,Closed,2026-06-08 20:49,2026-06-13 06:40,Digital Commerce,Western Cape,mobile-app
RET-1075,Barcode scanner intermittently not reading at store W124,POS & Tills,P3,Closed,2025-11-10 12:21,2025-11-14 11:19,Store Systems,KwaZulu-Natal,pos-tills
RET-1076,Bank switch latency above 8s causing tender timeouts,Payments & EFT,P3,Open,2026-05-06 16:54,,Payments Ops,Free State,payments-eft
RET-1077,"Receipt printer failure on till 14, store W536",POS & Tills,P3,Blocked,2025-09-01 14:06,,Store Systems,Limpopo,pos-tills
RET-1078,"Tap-to-pay failing on new terminals, store W171",Payments & EFT,P3,Closed,2026-05-21 17:57,2026-05-24 00:21,Payments Ops,National / Online,payments-eft
RET-1079,Purchase order acknowledgements not reaching vendor DairyDirect,Supply Chain EDI,P4,Resolved,2025-10-03 17:44,2025-10-07 23:11,Integration Hub,Eastern Cape,supply-chain-edi
RET-1080,Click-and-collect orders stuck in ALLOCATED for store W289,Order Fulfilment,P3,Resolved,2026-06-18 07:18,2026-06-21 01:57,Fulfilment Tech,Western Cape,order-fulfilment
RET-1081,Price file failed to deploy to 40 stores overnight,Pricing & Promotions,P3,Resolved,2025-11-15 10:58,2025-11-15 22:52,Merch Systems,Western Cape,pricing-promotions
RET-1082,Store W575 receiving not reflecting in inventory ledger,Inventory & Stock Sync,P2,Resolved,2025-11-17 07:22,2025-11-17 16:38,Merch Systems,Western Cape,inventory-stock-sync
RET-1083,3-D Secure redirect loop on mobile web checkout,Online Checkout,P3,Resolved,2025-11-20 19:12,2025-11-21 14:58,Digital Commerce,Gauteng,online-checkout
RET-1084,Basket total mismatch after promo applied at checkout,Online Checkout,P3,Closed,2026-06-17 16:22,2026-06-21 22:57,Digital Commerce,Mpumalanga,online-checkout
RET-1085,Order ORD-600320 split incorrectly across fulfilment nodes,Order Fulfilment,P3,In Progress,2026-06-30 06:12,,Fulfilment Tech,Eastern Cape,order-fulfilment
RET-1086,Unit-of-measure mismatch causing receiving failures at DC 2,Product Master Data,P3,Closed,2025-10-03 14:31,2025-10-05 04:31,Data Services,Limpopo,product-master-data
RET-1087,EFT declines spiking at store W381 — response code 91,Payments & EFT,P2,Resolved,2026-01-16 07:26,2026-01-16 18:29,Payments Ops,Eastern Cape,payments-eft
RET-1088,Unit-of-measure mismatch causing receiving failures at DC 1,Product Master Data,P4,Resolved,2026-06-06 08:24,2026-06-11 04:25,Data Services,National / Online,product-master-data
RET-1089,Duplicate vouchers issued to 40 members,WRewards Loyalty,P3,Resolved,2026-05-23 07:31,2026-05-23 20:16,Loyalty Platform,Western Cape,wrewards-loyalty
RET-1090,"Tap-to-pay failing on new terminals, store W248",Payments & EFT,P3,Closed,2026-06-13 08:16,2026-06-15 06:48,Payments Ops,KwaZulu-Natal,payments-eft
RET-1091,Brand attribute overwritten in bulk update — 45 SKUs affected,Product Master Data,P3,Resolved,2026-06-09 18:27,2026-06-13 12:07,Data Services,KwaZulu-Natal,product-master-data
RET-1092,"Loyalty card lookup timing out at till, store W358",WRewards Loyalty,P4,Closed,2026-04-13 11:22,2026-04-17 22:37,Loyalty Platform,KwaZulu-Natal,wrewards-loyalty
RET-1093,Negative SOH values appearing for 43 SKUs after nightly sync,Inventory & Stock Sync,P3,Resolved,2025-10-22 16:49,2025-10-23 19:23,Merch Systems,National / Online,inventory-stock-sync
RET-1094,Router config drift detected at store W565 after change,Store Network & Connectivity,P2,Closed,2026-06-23 12:27,2026-06-24 18:38,Network Ops,Gauteng,store-network-connectivity
RET-1095,"Mismatch between shelf-edge label and till price, store W324",Pricing & Promotions,P3,Closed,2026-01-23 08:59,2026-01-27 12:15,Merch Systems,National / Online,pricing-promotions
RET-1096,Duplicate vouchers issued to 42 members,WRewards Loyalty,P4,Closed,2025-10-16 08:55,2025-10-17 15:17,Loyalty Platform,Gauteng,wrewards-loyalty
RET-1097,Tier recalculation job failed — member benefits downgraded,WRewards Loyalty,P4,In Progress,2025-10-02 12:16,,Loyalty Platform,Eastern Cape,wrewards-loyalty
RET-1098,"Tap-to-pay failing on new terminals, store W241",Payments & EFT,P1,Closed,2026-05-18 17:34,2026-05-19 04:12,Payments Ops,Gauteng,payments-eft
RET-1099,"Checkout stuck on ""processing payment"" — orders duplicated",Online Checkout,P3,In Progress,2025-08-07 14:40,,Digital Commerce,Western Cape,online-checkout
RET-1100,Card payments timing out across Free State stores,Payments & EFT,P4,Open,2026-05-17 10:33,,Payments Ops,Western Cape,payments-eft
RET-1101,"POS EOD batch stuck at store W210, trading day not closed",POS & Tills,P4,Resolved,2026-01-24 19:57,2026-01-26 10:44,Store Systems,Gauteng,pos-tills
RET-1102,Store W301 receiving not reflecting in inventory ledger,Inventory & Stock Sync,P2,Resolved,2026-06-18 15:14,2026-06-19 13:14,Merch Systems,National / Online,inventory-stock-sync
RET-1103,Push notifications not delivered for order updates,Mobile App,P2,Closed,2026-06-20 18:56,2026-06-21 09:27,Digital Commerce,National / Online,mobile-app
RET-1104,POS terminal offline — store W381 unable to trade on 17 lanes,POS & Tills,P2,In Progress,2025-07-25 20:37,,Store Systems,National / Online,pos-tills
RET-1105,Voucher PRM-1362 redeemable multiple times — exposure risk,Gift Cards & Vouchers,P2,Closed,2025-12-07 16:58,2025-12-08 22:43,Payments Ops,Gauteng,gift-cards-vouchers
RET-1106,Card payments timing out across Gauteng stores,Payments & EFT,P3,Closed,2026-02-13 14:09,2026-02-18 20:53,Payments Ops,Eastern Cape,payments-eft
RET-1107,Stock-on-hand not syncing to online for DC 14 range,Inventory & Stock Sync,P1,Closed,2026-02-27 17:24,2026-02-28 00:33,Merch Systems,Northern Cape,inventory-stock-sync
RET-1108,"Voucher barcode not scanning at till, store W131",Gift Cards & Vouchers,P2,In Progress,2025-11-10 10:18,,Payments Ops,Gauteng,gift-cards-vouchers
RET-1109,Tier recalculation job failed — member benefits downgraded,WRewards Loyalty,P4,In Progress,2026-05-01 20:50,,Loyalty Platform,Western Cape,wrewards-loyalty
RET-1110,3-D Secure redirect loop on mobile web checkout,Online Checkout,P4,Closed,2025-07-22 08:16,2025-07-24 21:13,Digital Commerce,Gauteng,online-checkout
RET-1111,Courier manifest not generated for 28 orders,Order Fulfilment,P3,Closed,2026-01-29 13:48,2026-01-31 05:51,Fulfilment Tech,KwaZulu-Natal,order-fulfilment
RET-1112,POS terminal offline — store W572 unable to trade on 22 lanes,POS & Tills,P2,Resolved,2026-04-19 12:29,2026-04-19 21:57,Store Systems,Western Cape,pos-tills
RET-1113,Invoice EDI mismatch blocking GRN for DC 12,Supply Chain EDI,P3,Open,2026-05-27 14:11,,Integration Hub,Mpumalanga,supply-chain-edi
RET-1114,Bulk corporate gift card load failed for 29 cards,Gift Cards & Vouchers,P4,In Progress,2026-06-16 15:46,,Payments Ops,Gauteng,gift-cards-vouchers
RET-1115,"Receipt printer failure on till 18, store W489",POS & Tills,P3,Closed,2026-02-04 17:45,2026-02-06 07:57,Store Systems,Western Cape,pos-tills
RET-1116,Checkout payment step returning 502 for 16% of sessions,Online Checkout,P1,Closed,2025-10-21 12:07,2025-10-21 16:49,Digital Commerce,National / Online,online-checkout
RET-1117,Checkout payment step returning 502 for 5% of sessions,Online Checkout,P4,Closed,2026-05-19 06:57,2026-05-20 07:03,Digital Commerce,KwaZulu-Natal,online-checkout
RET-1118,"Receipt printer failure on till 1, store W110",POS & Tills,P3,Resolved,2026-01-23 14:32,2026-01-28 12:47,Store Systems,Free State,pos-tills
RET-1119,"Tap-to-pay failing on new terminals, store W312",Payments & EFT,P4,Closed,2025-11-24 19:38,2025-11-27 16:45,Payments Ops,Limpopo,payments-eft
RET-1120,3-D Secure redirect loop on mobile web checkout,Online Checkout,P4,In Progress,2026-04-20 10:24,,Digital Commerce,KwaZulu-Natal,online-checkout
RET-1121,Delivery slot selection failing for Free State customers,Online Checkout,P3,Blocked,2026-04-24 20:23,,Digital Commerce,National / Online,online-checkout
RET-1122,Checkout payment step returning 502 for 37% of sessions,Online Checkout,P1,Closed,2026-05-19 11:51,2026-05-19 21:16,Digital Commerce,Western Cape,online-checkout
RET-1123,Duplicate vouchers issued to 28 members,WRewards Loyalty,P4,Resolved,2026-01-04 06:32,2026-01-05 22:38,Loyalty Platform,Free State,wrewards-loyalty
RET-1124,Duplicate vouchers issued to 46 members,WRewards Loyalty,P3,Resolved,2026-06-02 06:50,2026-06-05 12:32,Loyalty Platform,Gauteng,wrewards-loyalty
RET-1125,WRewards linking failing in app with error ERR-700,WRewards Loyalty,P4,In Progress,2025-11-05 14:55,,Loyalty Platform,Gauteng,wrewards-loyalty
RET-1126,Card payments timing out across North West stores,Payments & EFT,P3,In Progress,2025-07-25 19:57,,Payments Ops,Western Cape,payments-eft
RET-1127,"POS EOD batch stuck at store W386, trading day not closed",POS & Tills,P3,Closed,2026-06-13 08:02,2026-06-17 17:26,Store Systems,National / Online,pos-tills
RET-1128,"Mismatch between shelf-edge label and till price, store W186",Pricing & Promotions,P2,Resolved,2025-09-26 15:59,2025-09-27 07:39,Merch Systems,Mpumalanga,pricing-promotions
RET-1129,Click-and-collect orders stuck in ALLOCATED for store W469,Order Fulfilment,P3,Resolved,2026-01-15 20:42,2026-01-19 18:53,Fulfilment Tech,National / Online,order-fulfilment
RET-1130,Images not loading on home screen — CDN 403s,Mobile App,P3,Open,2026-06-24 16:51,,Digital Commerce,Gauteng,mobile-app
RET-1131,"Receipt printer failure on till 13, store W352",POS & Tills,P2,Resolved,2026-05-06 20:42,2026-05-07 12:34,Store Systems,Western Cape,pos-tills
RET-1132,Same-day delivery cutoff not enforced — late promises made,Order Fulfilment,P3,Closed,2025-10-13 12:00,2025-10-14 18:46,Fulfilment Tech,National / Online,order-fulfilment
RET-1133,"Voucher barcode not scanning at till, store W540",Gift Cards & Vouchers,P3,Open,2026-04-17 08:06,,Payments Ops,National / Online,gift-cards-vouchers
RET-1134,Checkout payment step returning 502 for 14% of sessions,Online Checkout,P4,Closed,2025-12-11 13:38,2025-12-12 20:38,Digital Commerce,Free State,online-checkout
RET-1135,Dual-message settlement mismatch for trading date 2026-04-06,Payments & EFT,P3,Open,2026-06-22 19:14,,Payments Ops,National / Online,payments-eft
RET-1136,Voucher PRM-3930 redeemable multiple times — exposure risk,Gift Cards & Vouchers,P3,Closed,2026-05-05 17:05,2026-05-06 10:24,Payments Ops,North West,gift-cards-vouchers
RET-1137,3-D Secure redirect loop on mobile web checkout,Online Checkout,P3,Closed,2026-02-13 18:51,2026-02-18 00:48,Digital Commerce,Gauteng,online-checkout
RET-1138,"Mismatch between shelf-edge label and till price, store W446",Pricing & Promotions,P3,Resolved,2026-01-25 13:46,2026-01-29 04:56,Merch Systems,Western Cape,pricing-promotions
RET-1139,WRewards linking failing in app with error ERR-694,WRewards Loyalty,P3,In Progress,2026-04-24 06:09,,Loyalty Platform,Gauteng,wrewards-loyalty
RET-1140,Same-day delivery cutoff not enforced — late promises made,Order Fulfilment,P3,Resolved,2026-01-21 12:54,2026-01-25 10:03,Fulfilment Tech,Eastern Cape,order-fulfilment
RET-1141,Till 13 frozen on tender screen at store W306,POS & Tills,P4,Closed,2025-10-02 16:19,2025-10-03 15:08,Store Systems,National / Online,pos-tills
RET-1142,Negative SOH values appearing for 45 SKUs after nightly sync,Inventory & Stock Sync,P2,Closed,2026-01-11 08:31,2026-01-12 14:36,Merch Systems,Gauteng,inventory-stock-sync
RET-1143,Promotion PRM-9427 double-discounting online,Pricing & Promotions,P2,Blocked,2026-04-23 15:10,,Merch Systems,Limpopo,pricing-promotions
RET-1144,"Checkout stuck on ""processing payment"" — orders duplicated",Online Checkout,P3,Resolved,2025-10-03 09:33,2025-10-07 21:53,Digital Commerce,Gauteng,online-checkout
RET-1145,Picking app not releasing waves at DC 4,Order Fulfilment,P3,Blocked,2025-09-05 11:11,,Fulfilment Tech,National / Online,order-fulfilment
RET-1146,New season SKUs missing attributes — 44 lines blocked from listing,Product Master Data,P4,Resolved,2026-06-30 12:48,2026-07-02 12:53,Data Services,Gauteng,product-master-data
RET-1147,Bank switch latency above 8s causing tender timeouts,Payments & EFT,P3,Resolved,2026-04-10 06:08,2026-04-14 04:27,Payments Ops,National / Online,payments-eft
RET-1148,"Tap-to-pay failing on new terminals, store W395",Payments & EFT,P4,Closed,2025-10-08 14:38,2025-10-13 16:30,Payments Ops,KwaZulu-Natal,payments-eft
RET-1149,Router config drift detected at store W472 after change,Store Network & Connectivity,P4,Open,2025-07-09 19:59,,Network Ops,Free State,store-network-connectivity
RET-1150,Invoice EDI mismatch blocking GRN for DC 8,Supply Chain EDI,P3,In Progress,2026-05-15 06:16,,Integration Hub,Western Cape,supply-chain-edi
RET-1151,Cycle-count variance file rejected for store W244,Inventory & Stock Sync,P4,Blocked,2026-04-30 15:06,,Merch Systems,Western Cape,inventory-stock-sync
RET-1152,Bulk corporate gift card load failed for 16 cards,Gift Cards & Vouchers,P3,Closed,2026-04-16 20:30,2026-04-19 12:21,Payments Ops,Gauteng,gift-cards-vouchers
RET-1153,Tier recalculation job failed — member benefits downgraded,WRewards Loyalty,P4,Open,2026-06-20 06:13,,Loyalty Platform,National / Online,wrewards-loyalty
RET-1154,High packet loss to data centre from KwaZulu-Natal stores,Store Network & Connectivity,P4,Closed,2026-05-10 17:02,2026-05-14 01:24,Network Ops,North West,store-network-connectivity
RET-1155,Bank switch latency above 8s causing tender timeouts,Payments & EFT,P3,Closed,2026-01-25 16:03,2026-01-26 03:53,Payments Ops,Western Cape,payments-eft
RET-1156,Brand attribute overwritten in bulk update — 13 SKUs affected,Product Master Data,P3,In Progress,2025-11-29 12:55,,Data Services,KwaZulu-Natal,product-master-data
RET-1157,Order ORD-265791 split incorrectly across fulfilment nodes,Order Fulfilment,P4,Closed,2025-09-30 16:40,2025-10-01 08:24,Fulfilment Tech,North West,order-fulfilment
RET-1158,Push notifications not delivered for order updates,Mobile App,P4,Closed,2026-03-01 14:11,2026-03-06 11:14,Digital Commerce,Western Cape,mobile-app
RET-1159,High packet loss to data centre from KwaZulu-Natal stores,Store Network & Connectivity,P2,Closed,2026-06-11 15:27,2026-06-11 20:28,Network Ops,Mpumalanga,store-network-connectivity
RET-1160,Stock sync job overran window by 15 hours — online availability stale,Inventory & Stock Sync,P3,Resolved,2026-01-16 11:46,2026-01-20 15:53,Merch Systems,Western Cape,inventory-stock-sync
RET-1161,Order ORD-964029 split incorrectly across fulfilment nodes,Order Fulfilment,P2,Closed,2025-11-12 10:47,2025-11-13 02:01,Fulfilment Tech,Western Cape,order-fulfilment
RET-1162,Checkout payment step returning 502 for 44% of sessions,Online Checkout,P2,Resolved,2026-04-26 07:03,2026-04-26 13:17,Digital Commerce,National / Online,online-checkout
RET-1163,EDI 856 backlog of 17 messages at gateway,Supply Chain EDI,P3,Closed,2026-06-17 07:18,2026-06-18 20:23,Integration Hub,Mpumalanga,supply-chain-edi
RET-1164,Tier recalculation job failed — member benefits downgraded,WRewards Loyalty,P3,Closed,2026-04-16 11:32,2026-04-19 06:28,Loyalty Platform,KwaZulu-Natal,wrewards-loyalty
RET-1165,"Receipt printer failure on till 7, store W575",POS & Tills,P3,Closed,2026-06-11 13:13,2026-06-12 20:55,Store Systems,Eastern Cape,pos-tills
RET-1166,"Loyalty card lookup timing out at till, store W188",WRewards Loyalty,P1,Resolved,2026-04-20 07:50,2026-04-20 17:00,Loyalty Platform,Gauteng,wrewards-loyalty
